40a,36,6.5,-5.316607,35.90769,351,511,14-03-15 13:51,CEUTA,,14-03-15 15:19,GIBRALTAR
40a,36,6,-5.317723,35.9135,20,511,14-03-15 13:55,CEUTA,,14-03-15 15:19,GIBRALTAR
40a,36,6.3,-5.322552,35.92469,331,511,14-03-15 14:02,CEUTA,,14-03-15 15:19,GIBRALTAR
40a,36,5,-5.316057,35.90345,348,511,14-03-15 13:48,BARCELONA,,14-03-15 15:19,GIBRALTAR
40a,36,7.1,-5.325523,35.92981,339,511,14-03-15 14:05,CEUTA,,14-03-15 15:19,GIBRALTAR
40a,36,5.2,-5.326895,35.93295,340,511,14-03-15 14:07,GIBRALTAR,,14-03-15 15:19,CEUTA
40a,36,5.4,-5.327442,35.93588,352,511,14-03-15 14:09,CEUTA,,14-03-15 15:19,GIBRALTAR
40a,36,5.8,-5.328082,35.93915,355,511,14-03-15 14:11,CEUTA,,14-03-15 15:19,GIBRALTAR
40a,36,5.2,-5.331532,35.94953,344,511,14-03-15 14:18,CEUTA,,14-03-15 15:19,GIBRALTAR
4cf,82,11.7,2.315218,41.30416,247,246,19-05-15 21:05,LIVORNO,55,19-05-15 21:14,BARCELONA
4cf,82,11.7,2.303147,41.30058,249,249,19-05-15 21:08,LIVORNO,55,19-05-15 21:14,BARCELONA
4cf,82,11.7,2.290143,41.2972,252,250,19-05-15 21:11,LIVORNO,55,19-05-15 21:14,BARCELONA
4cf,82,11.6,2.277807,41.29419,251,250,19-05-15 21:14,LIVORNO,55,19-05-15 21:14,BARCELONA
40a,36,6.3,-5.319388,35.91784,338,511,14-03-15 13:58,CEUTA,,14-03-15 15:19,GIBRALTAR
74cf,82,11.9,2.744542,41.44963,247,248,19-05-15 19:19,LIVORNO,55,19-05-15 21:14,BARCELONA
a843,80,10.3,35.95177,36.55819,48,47,19-05-15 19:22,HAIFA,69,19-05-15 20:02,ISKENDERUN
a843,80,10.3,35.95789,36.56263,49,47,19-05-15 19:24,HAIFA,69,19-05-15 20:02,ISKENDERUN
74cf,82,12,2.731687,41.44552,246,248,19-05-15 19:22,LIVORNO,55,19-05-15 21:14,BARCELONA
